ma_bds,address,total_price,price_per_m2,loại hình,chiều ngang,chiều dài,hướng cửa chính,số phòng ngủ,số phòng tắm,số tầng,diện tích đất công nhận,diện tích sử dụng,đường trước nhà,property_type,area_calculated,latitude,longitude,center_distance_km,địa chỉ chi tiết,diện tích tim tường,nội thất,tên dự án / tòa nhà,tình trạng sử dụng
1U8M36,"Thửa 561 - tờ 89 đường số 7, Xã Tân Thông Hội, H.Củ Chi, TP.HCM",1750000.0,16.04,Đất,5m,22.1m,Tây Bắc,,,,,,,land,109102.24438902744,11.008435182999383,106.5136078101043,32.41305147911788,,,,,
QAS60U,"Thửa 102 - tờ 24 Huỳnh Văn Cọ, TT.Củ Chi, H.Củ Chi, TP.HCM",5300000.0,26.5,Đất,10m,20m,Tây Bắc,,,,,,,land,200000.0,11.016712272053544,106.50034463539578,34.03871174526001,,,,,
7KYQ2A,"Thửa 827 - tờ 23 Trần Văn Chẩm, Xã Phước Vĩnh An, H.Củ Chi, TP.HCM",6300000.0,16.56,Đất,10.09m,39m,Đông,,,,,,,land,380434.7826086957,11.006880448099091,106.5149117671718,32.18973530689745,,,,,
GXZJ62,"Thửa 668 - tờ 36 Trương Thị Kiện, Xã Thái Mỹ, H.Củ Chi, TP.HCM",1700000.0,8.55,Đất,5m,39.93m,Tây Nam,,,,,,,land,198830.40935672514,11.009955591397015,106.48994813452776,34.21546174904649,,,,,
37UXPQ,"Thửa 573 - tờ 38 Tỉnh Lộ 15, Xã Phú Hòa Đông, H.Củ Chi, TP.HCM",1380000.0,13.06,Đất,5m,21.22m,Tây Bắc,,,,,,,land,105666.15620214395,10.993598764504549,106.51642512206811,30.950154929976417,,,,,
YBHQTD,"Tỉnh lộ 7, Xã Phước Thạnh, H.Củ Chi, TP.HCM",1650000.0,8.77,Đất,5m,38m,Tây Nam,,,,,,,land,188141.39110604333,10.996841869455581,106.49971133840859,32.42380466779539,,,,,
GXZWV2,"Thửa 591 - tờ 9 Tỉnh Lộ 2, Xã Tân An Hội, H.Củ Chi, TP.HCM",3500000.0,18.45,Đất,5m,38.32m,Tây Nam,,,,,,,land,189701.8970189702,11.021518734422107,106.49709689949826,34.674579535818594,,,,,
GXZFM2,"Thửa 592 - tờ 3 Nguyễn Văn Khạ, Xã Tân An Hội, H.Củ Chi, TP.HCM",2900000.0,6.57,Đất,19.57m,30.66m,Nam,,,,,,,land,441400.30441400304,10.99462354117518,106.51166515518835,31.374107400429878,,,,,
YBH82D,"Thửa 125 - tờ 9 Tỉnh Lộ 7, Xã Phước Thạnh, H.Củ Chi, TP.HCM",3600000.0,3.48,Đất,32.44m,35.84m,Đông Nam,,,,,,,land,1034482.7586206896,10.995542191582599,106.50797746512494,31.715185927803866,,,,,
5HAXV7,"Thửa 737 - tờ 46 Lê Thị Bay, Xã Tân Thạnh Đông, H.Củ Chi, TP.HCM",2350000.0,16.18,Đất,5m,29.21m,Tây Bắc,,,,,,,land,145241.03831891224,10.997805208153157,106.50311810082403,32.25424359558806,,,,,
