address,total_price,price_per_m2,area_calculated,latitude,longitude,center_distance_km
"Thửa 528 - tờ 47 Đường Tô Ngọc Vân, P.Thạnh Xuân, Q.12, TP.HCM",13900000.0,95.86,145003.1295639474,10.780854352183704,106.70973737132145,1.1772166928680357
"Đông Hòa, Dĩ An, TP.HCM",3350000.0,31.01,108029.66784908094,10.787405314972316,106.70132594377854,0.8795755423380514
"P.Đông Hòa, TP.Dĩ An, TP.HCM",3450000.0,47.26,73000.42319085907,10.769326617573324,106.65367230878661,5.093646448990854
"TT.Hóc Môn, H.Hóc Môn, TP.HCM",1960000.0,16.82,116527.94292508918,10.871852943953153,106.58398178917213,16.185809469525573
"Thửa 1749 - tờ 14 TL29, P.An Phú Đông, Q.12, TP.HCM",6000000.0,71.94,83402.83569641368,10.780745145398914,106.69188606726088,0.7882839656115204
"Thửa 700 - tờ 31 Bến Than, Xã Hòa Phú, H.Củ Chi, TP.HCM",11000000.0,20.83,528084.4935189631,10.99178760907341,106.50786676332262,31.4119925398826
"Thửa 2113 - tờ 18 Thạnh Xuân 43, P.Thạnh Xuân, Q.12, TP.HCM",6000000.0,49.91,120216.38950110199,10.763575896165175,106.71547971701014,2.540126908673615
"Thửa 1903 - tờ 22 Thới An 18, P.Thới An, Q.12, TP.HCM",5950000.0,64.95,91608.92994611239,10.775645591179156,106.71665751820909,1.9817364671672608
"8/34/5/6 TX40, P.Thạnh Xuân, Q.12, TP.HCM",4000000.0,49.87,80208.54220974534,10.78974659998814,106.69016369836353,1.4676475812232137
"Thửa 558 - tờ 8 Sông Lu, Xã Hòa Phú, H.Củ Chi, TP.HCM",1000000.0,9.89,101112.23458038422,11.01846490344528,106.49720102000187,34.40753122033042
"tỉnh 998, Phước Thuận, Xuyên Mộc, TP.HCM",12000000.0,12.17,986031.2243221035,10.739887214748727,106.73750095858598,6.097833048349968
"Thửa 770 - tờ 12 Thạnh Lộc 42, P.Thạnh Lộc, Q.12, TP.HCM",5000000.0,62.5,80000.0,10.781532618768377,106.70998873945541,1.2142357957435375
"Thửa 972 - tờ 27 Bến Than, Xã Hòa Phú, H.Củ Chi, TP.HCM",2300000.0,19.81,116102.97829379102,10.99410544813441,106.49622477362746,32.4595490969545
"Thửa 590 - Tờ 198 đường số 5, P.7, Q.8, TP.HCM",8000000.0,72.72,110011.00110011,10.751251245765275,106.71382250439805,3.5468212386020497
"Thửa 643-3 - Tờ 4 đường số 1, P.11, Q.6, TP.HCM",10000000.0,89.28,112007.16845878137,10.795399526154538,106.70307027195564,1.7828523127366924
"Thửa 643-2 - Tờ 4 đường số 1, P.11, Q.6, TP.HCM",9990000.0,90.0,111000.0,10.752452611667575,106.656374534341,5.559126244364899
"Thửa 578 - Tờ 51 đường 152, Bình Mỹ, H.Củ Chi, TP.HCM",3000000.0,19.54,153531.21801432958,10.997011442496865,106.51024637105907,31.675444233386493
"Thửa 505 - tờ 67 ĐH508, Xã Nhuận Đức, H.Củ Chi, TP.HCM",2200000.0,9.58,229645.09394572026,10.99339343600627,106.50566022435241,31.70512753494527
"Thửa 1589 - tờ 96 Vườn Lài, P.An Phú Đông, Q.12, TP.HCM",5700000.0,71.25,80000.0,10.768023165472002,106.71156779606109,1.8903927781871799
"Thửa 1112 - tờ 58 Thạnh Lộc 14, P.An Phú Đông, Q.12, TP.HCM",4000000.0,80.0,50000.0,10.780936322709954,106.70068923889052,0.22187411014040162
